Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (RICE score),Custom field (Rank),Custom field (Reach),Custom field (Request Type),Custom field (Roadmap),Custom field (Sentiment),Custom field (Spec ready),Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Value),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (development),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Collect screenshots of the Jenkins performance as a deliverable,BDC-62,10197,Deliverables & Documentation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:03 AM,15/Sep/25 11:11 AM,,15/Sep/25 11:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@71e6406b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000gr:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:33:33.99,10095_*:*_1_*:*_40080980_*|*_10097_*:*_1_*:*_0,,15/Sep/25 12:03 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 11:11 AM
Collect screenshots of the Node Exporter's dashboard as a deliverable,BDC-61,10196,Deliverables & Documentation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:03 AM,15/Sep/25 11:11 AM,,15/Sep/25 11:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@897ae5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000gj:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:33:18.413,10095_*:*_1_*:*_13410598_*|*_10096_*:*_1_*:*_0,,15/Sep/25 12:03 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 11:11 AM
Collect Kubernetes manifest files as a deliverable,BDC-60,10195,Deliverables & Documentation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:03 AM,15/Sep/25 11:11 AM,15/Sep/25 1:20 AM,15/Sep/25 11:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@e57c5f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000gb:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:33:05.394,10095_*:*_1_*:*_13419659_*|*_10096_*:*_1_*:*_0,,15/Sep/25 12:03 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 11:11 AM
Collect the SonarQube quality gate report as a deliverable,BDC-59,10194,Deliverables & Documentation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:02 AM,15/Sep/25 11:11 AM,,15/Sep/25 11:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4fb5d909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000g3:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:32:54.501,10095_*:*_1_*:*_13425749_*|*_10096_*:*_1_*:*_0,,15/Sep/25 12:02 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 11:11 AM
Collect the Dockerfile as a deliverable,BDC-58,10193,Deliverables & Documentation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:02 AM,15/Sep/25 11:11 AM,,15/Sep/25 11:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e0fbcbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fv:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:32:42.565,10095_*:*_1_*:*_13434831_*|*_10096_*:*_1_*:*_0,,15/Sep/25 12:02 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 11:11 AM
Collect the Jenkinsfile as a deliverable,BDC-57,10192,Deliverables & Documentation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:02 AM,15/Sep/25 11:11 AM,,15/Sep/25 11:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@318ad96c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fn:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:32:31.496,10095_*:*_1_*:*_13443135_*|*_10096_*:*_1_*:*_0,,15/Sep/25 12:02 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 11:11 AM
Collect a screenshot of the email notification for deliverable,BDC-56,10191,Deliverables & Documentation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:01 AM,15/Sep/25 3:46 AM,15/Sep/25 11:09 AM,15/Sep/25 3:46 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d1d8ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ev:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:31:55.642,10095_*:*_1_*:*_11055197_*|*_10096_*:*_1_*:*_0,,15/Sep/25 12:01 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 3:46 AM
Collect console build logs output as a deliverable,BDC-55,10190,Deliverables & Documentation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:01 AM,15/Sep/25 11:11 AM,,15/Sep/25 11:11 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@16d6e382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000f7:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:31:43.782,10095_*:*_1_*:*_13479921_*|*_10096_*:*_1_*:*_0,,15/Sep/25 12:01 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 11:11 AM
Expose to the internet via NodePort service,BDC-54,10189,CI/CD Pipeline Development,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:01 AM,15/Sep/25 3:46 AM,,15/Sep/25 3:46 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a55c8d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ez:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:31:23.836,10095_*:*_1_*:*_13495770_*|*_10097_*:*_1_*:*_0,,15/Sep/25 12:01 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 3:46 AM
Deploy the application in EKS,BDC-53,10188,CI/CD Pipeline Development,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:00 AM,15/Sep/25 3:46 AM,,15/Sep/25 3:46 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d732b4e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000er:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:31:00.179,10095_*:*_1_*:*_11108364_*|*_10096_*:*_1_*:*_0,,15/Sep/25 12:01 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 3:46 AM
