Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (RICE score),Custom field (Rank),Custom field (Reach),Custom field (Request Type),Custom field (Roadmap),Custom field (Sentiment),Custom field (Spec ready),Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Value),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (development),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Write Kubernetes manifests,BDC-52,10187,CI/CD Pipeline Development,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,15/Sep/25 12:00 AM,15/Sep/25 3:45 AM,,15/Sep/25 3:45 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@38974b76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ej:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:30:33.911,10095_*:*_1_*:*_11132488_*|*_10096_*:*_1_*:*_0,,15/Sep/25 12:00 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 3:45 AM
Configure Kubernetes cluster,BDC-51,10186,CI/CD Pipeline Development,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:56 PM,15/Sep/25 3:45 AM,14/Sep/25 11:59 PM,15/Sep/25 3:45 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@19fc7515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000eb:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:27:00.366,10095_*:*_1_*:*_11343723_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:57 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 3:45 AM
Import Jenkins dashboard via ID/link,BDC-50,10185,Monitoring & Dashboard Setup,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:56 PM,15/Sep/25 3:45 AM,,15/Sep/25 3:45 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f3d0b6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000e3:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:26:38.15,10095_*:*_1_*:*_11364258_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:56 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 3:45 AM
Import Node Exporter dashboard via ID/link,BDC-49,10184,Monitoring & Dashboard Setup,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:56 PM,15/Sep/25 3:05 AM,,15/Sep/25 3:05 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@45138542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dv:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:26:28.334,10095_*:*_1_*:*_9771394_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:56 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 3:05 AM
Add Prometheus as a data source in Grafana,BDC-48,10183,Monitoring & Dashboard Setup,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:56 PM,15/Sep/25 3:05 AM,,15/Sep/25 3:05 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3174de71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dn:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:26:18.08,10095_*:*_1_*:*_9777891_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:56 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 3:05 AM
Add Node Exporter to Prometheus,BDC-47,10182,Tool Installation & Configuration,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:55 PM,15/Sep/25 3:05 AM,,15/Sep/25 3:05 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b281965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000df:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:25:08.943,10095_*:*_1_*:*_9844803_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:55 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 3:05 AM
Add Jenkins metrics to Prometheus,BDC-46,10181,Tool Installation & Configuration,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:54 PM,15/Sep/25 3:05 AM,14/Sep/25 11:54 PM,15/Sep/25 3:05 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c38cb27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d7:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:24:10.286,10095_*:*_1_*:*_9901230_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:54 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 3:05 AM
Check for Prometheus after launching,BDC-45,10180,Pipeline Testing & Validation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:53 PM,15/Sep/25 3:05 AM,,15/Sep/25 3:05 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1579aa4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cz:,,,,,,BDC Sprint 1,BDC Sprint 2,,,,,,,,,,,2025-09-14 18:23:49.91,10095_*:*_1_*:*_9919806_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:53 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 3:05 AM
Access the Docker deployment via the internet,BDC-44,10179,Pipeline Testing & Validation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:53 PM,15/Sep/25 2:39 AM,,15/Sep/25 2:39 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@42c8adeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cr:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:23:20.559,10095_*:*_1_*:*_5063459_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:53 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 2:39 AM
Check for Docker deployment via Jenkins,BDC-43,10178,Pipeline Testing & Validation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:53 PM,15/Sep/25 2:39 AM,,15/Sep/25 2:39 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@8539bbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cj:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:23:10.194,10095_*:*_1_*:*_5069541_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:53 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 2:39 AM
Check for email notification after pipeline execution,BDC-42,10177,Pipeline Testing & Validation,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:52 PM,15/Sep/25 2:38 AM,,15/Sep/25 2:38 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@42781860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cb:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:22:54.732,10095_*:*_1_*:*_5081291_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:52 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 2:38 AM
Create Jenkins job and execute the pipeline,BDC-41,10176,CI/CD Pipeline Development,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:52 PM,15/Sep/25 2:38 AM,,15/Sep/25 2:38 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54cb0b10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c3:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:22:26.864,10095_*:*_1_*:*_5106966_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:52 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 2:38 AM
Push Jenkinsfile and Dockerfile to GitHub,BDC-40,10175,CI/CD Pipeline Development,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:52 PM,15/Sep/25 2:38 AM,,15/Sep/25 2:38 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53eb5397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bv:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:22:05.871,10095_*:*_1_*:*_5125706_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:52 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 2:38 AM
Create Dockerfile,BDC-39,10174,CI/CD Pipeline Development,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:51 PM,15/Sep/25 2:38 AM,,15/Sep/25 2:38 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@32d5d883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bn:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:21:55.305,10095_*:*_1_*:*_5134661_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:51 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 2:38 AM
Write Jenkinsfile with stages,BDC-38,10173,CI/CD Pipeline Development,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:51 PM,15/Sep/25 2:38 AM,,15/Sep/25 2:38 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@254976a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bf:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:21:45.069,10095_*:*_1_*:*_5142884_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:51 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 2:38 AM
Launch SonarQube as a Docker container,BDC-37,10172,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:51 PM,15/Sep/25 1:17 AM,,15/Sep/25 1:17 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@260a5243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b7:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:21:33.519,10095_*:*_1_*:*_5175252_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:51 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 1:17 AM
Install required plugins in Jenkins,BDC-36,10171,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:50 PM,15/Sep/25 1:17 AM,,15/Sep/25 1:17 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@695ab2fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000az:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:20:35.924,10095_*:*_1_*:*_5203110_*|*_10097_*:*_1_*:*_0,,14/Sep/25 11:50 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 1:17 AM
Configure Jenkins system,BDC-35,10170,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:50 PM,15/Sep/25 1:17 AM,15/Sep/25 3:04 AM,15/Sep/25 1:17 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@75577e96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008q:i,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:20:25.842,10095_*:*_1_*:*_1302077_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:50 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 1:17 AM
Configure Jenkins credentials,BDC-34,10169,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:50 PM,15/Sep/25 1:17 AM,15/Sep/25 2:40 AM,15/Sep/25 1:17 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@73a4cfdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008q:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:20:17.132,10095_*:*_1_*:*_1307469_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:50 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 1:17 AM
Configure Jenkins tools,BDC-33,10168,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:50 PM,15/Sep/25 1:17 AM,15/Sep/25 2:40 AM,15/Sep/25 1:17 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1db67341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007y:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:20:09.683,10095_*:*_1_*:*_1312065_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:50 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 1:17 AM
Set up Jenkins server,BDC-32,10167,Infrastructure Provisioning Task,Done,BDC,BMS-DevOps-Capstone,software,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,Medium,Done,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,Saurabh Wakase,712020:bd0b7537-7920-472d-9b26-0209da07b19e,14/Sep/25 11:49 PM,15/Sep/25 1:16 AM,14/Sep/25 11:49 PM,15/Sep/25 1:16 AM,,0,,,Automation for Jira,Saurabh Wakase,557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:bd0b7537-7920-472d-9b26-0209da07b19e,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@edad6ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007u:,,,,,,BDC Sprint 1,,,,,,,,,,,,2025-09-14 18:19:28.163,10095_*:*_1_*:*_1349148_*|*_10096_*:*_1_*:*_0,,14/Sep/25 11:49 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Auto-assigned the task via automation rule.,,,,Done,15/Sep/25 1:16 AM
